ID,Area,Winning Point,Victory Times,Victory,Defeat Times,Defeat,Win Rate,Performance,Prefer Location,Prefer Hero 1,Prefer Hero 2,Prefer Hero 3
consensualclown1,America,1220,312,victory,257,defeat,54.80%,B+,Mid,Annie,Pantheon,Blitzcrank
Humble Diligent,America,1170,491,victory,408,defeat,54.60%,S-,Top,Sion,Varus,Ornn
LYN Oddie,America,1154,214,victory,147,defeat,59.30%,S+,Jungle,Nidalee,Rek'Sai,Xayah
TF Blade,America,1118,282,victory,197,defeat,58.90%,A+,ADC,Caitlyn,Janna,Varus
Linsanity,America,1086,0,victory,0,defeat,100.00%,S,Sup,Janna,Soraka,Leona
TS Freeze,America,1057,285,victory,220,defeat,56.40%,S,ADC,Xayah,Varus,Caitlyn
Apollo Price,America,994,277,victory,222,defeat,55.50%,A+,Top,Ekko,Fizz,Soraka
Licorice,America,980,0,victory,0,defeat,100.00%,S,Mid,Fiddlesticks,Ekko,Soraka
Imaqtpie,America,956,115,victory,51,defeat,69.30%,S,ADC,Kai'Sa,Camille,Mordekaiser
God Fist Monk,America,954,274,victory,218,defeat,55.70%,B+,Mid,Fizz,Katarina,Vayne
Acoldblazeolive,America,952,122,victory,108,defeat,53.00%,S-,Mid,Zoe,Ryze,TwistedFate
bon dui,America,951,282,victory,218,defeat,56.40%,A+,Jungle,Camille,Kha'Zix,Vladimir
stuntopolis,America,920,379,victory,324,defeat,53.90%,B,Top,Renekton,Irelia,Leona
swoloHey,America,910,985,victory,985,defeat,50.00%,A-,Sup,Lulu,Janna,Rakan
learning experie,America,897,382,victory,327,defeat,53.90%,A-,Mid,Ryze,Caitlyn,Taliyah
blackha1r man,America,896,277,victory,217,defeat,56.10%,A,Jungle,Camille,Rengar,Nidalee
kodoch,America,885,0,victory,0,defeat,100.00%,S,Top,Nidalee,Yasuo,Ryze
Teamfighting,America,875,130,victory,47,defeat,73.40%,A,Jungle,Nidalee,Ryze,Lee Sin
NotMyMVP,America,854,434,victory,369,defeat,54.00%,S+,ADC,Varus,Caitlyn,Ezreal
C9 Ray,America,836,390,victory,339,defeat,53.50%,A-,Top,Fiora,Jax,Jayce
Rikara,America,832,312,victory,220,defeat,58.60%,A,Top,Fizz,Vladimir,Riven
TSelfie,America,813,134,victory,105,defeat,56.10%,A+,Jungle,XinZhao,Kassdin,Shyvana
Keegun,America,798,0,victory,0,defeat,100.00%,S,Top,Gangplank,Vladimir,Jayce
Win or Learn,America,788,0,victory,0,defeat,100.00%,S,Jungle,Rengar,Vladimir,Kha'Zix
NV Nisqy,America,787,135,victory,66,defeat,67.20%,A,Top,Fiora,Nidalee,Rek'Sai
Erry,America,775,443,victory,345,defeat,56.20%,S-,Jungle,Aatrox,Nidalee,Draven
GangstahSwerve,America,769,145,victory,112,defeat,56.40%,A+,Jungle,Ivern,Rek'Sai,Sejuani
Daarr,America,767,100,victory,22,defeat,82.00%,B-,Top,MasterYi,Riven,Renekton
Jue VioIe Grace,America,758,0,victory,0,defeat,100.00%,S,Sup,Leona,Janna,Lulu
C9 Gun,America,751,144,victory,107,defeat,57.40%,A+,Mid,Sol,Galio,Vel'Koz
Lebron James,America,748,200,victory,185,defeat,51.90%,A-,Top,Renekton,Annie,Riven
LetsGoGuys,America,748,1029,victory,909,defeat,53.10%,B,ADC,Tristana,Caitlyn,Twitch
blaberfish2,America,745,236,victory,181,defeat,55.90%,A,Top,Sona,Gangplank,Camille
Gastðn,America,736,0,victory,0,defeat,100.00%,S,Sup,Zac,Thresh,Gangplank
BillyBoss1,America,729,221,victory,165,defeat,57.30%,A,Mid,Taliyah,Vladimir,Zoe
She Limp,America,716,175,victory,133,defeat,56.80%,S-,Jungle,Swain,Kha'Zix,Rakan
Revenge,America,716,229,victory,188,defeat,54.90%,A,Mid,Talon,Zoe,Vladimir
hi its viper,America,708,0,victory,0,defeat,100.00%,S,Sup,Rakan,Braum,Thresh
always plan ahea,America,708,425,victory,387,defeat,52.30%,S-,Jungle,Rengar,Fiddlesticks,XinZhao
Jurassiq,America,706,142,victory,90,defeat,61.20%,A+,ADC,Rek'Sai,XinZhao,Sejuani
nziety,America,703,153,victory,100,defeat,59.70%,S-,ADC,Draven,Vayne,Diana
TWTFSSM,America,700,371,victory,339,defeat,52.30%,A+,Jungle,Xerath,Jayce,Lissandra
Pobelter,America,699,887,victory,843,defeat,51.30%,S-,Mid,Ryze,Vladimir,Kha'Zix
SandPaperX,America,690,178,victory,105,defeat,62.90%,A,Top,Mordekaiser,Ezreal,Vayne
C9 Sneaky,America,687,0,victory,0,defeat,100.00%,S,Jungle,Evelynn,XinZhao,Xayah
freelancer,America,684,271,victory,217,defeat,55.50%,A+,Mid,Fiora,Jax,Cho'Gath
Fanatiik,America,683,117,victory,60,defeat,66.10%,A,Top,Fiora,Jax,Rek'Sai
Jackoo,America,675,126,victory,77,defeat,62.10%,S+,Sup,Fiora,Nami,Janna
fulano,America,673,238,victory,210,defeat,53.10%,A+,Jungle,Nidalee,Olaf,Kha'Zix
xIrezz,America,671,223,victory,177,defeat,55.80%,S,Jungle,Lee Sin,Kha'Zix,Leona
Ablazeolive,America,667,247,victory,202,defeat,55.00%,A+,Sup,Katarina,Soraka,Nami
dawolfsfang,America,667,464,victory,400,defeat,53.70%,A+,Jungle,LeBlanc,Ryze,Jayce
Ssita,America,657,0,victory,0,defeat,100.00%,S,Top,Ryze,Pantheon,Malphite
Maxtrobo,America,655,185,victory,143,defeat,56.40%,S-,Sup,Thresh,Fiora,Caitlyn
Ssumdayday,America,650,620,victory,560,defeat,52.50%,A+,ADC,Caitlyn,Jax,Jinx
Arcsecond,America,648,154,victory,98,defeat,61.10%,B+,Top,Lulu,Veigar,Jax
RyuShoryu,America,647,39,victory,19,defeat,67.20%,A,Sup,Janna,Kai'Sa,Camille
Lord Jirall,America,643,30,victory,3,defeat,90.90%,A+,Jungle,Lee Sin,Hecarim,Graves
Hvk Blitzy,America,639,905,victory,824,defeat,52.30%,A+,Top,Kennen,Shen,Kled
Cris,America,636,231,victory,186,defeat,55.40%,S,Jungle,Kha'Zix,Warwick,Graves
